SID,PID,SubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMat,Exterior1,Exterior2,MasVnrType,MasVnrArea,ExterQual,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,LogSalePrice,HouseAge1,HouseAge2,WeatherControl,TotalBath,GarageIndex
265,907252120,20,RL,,11423,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,479.0,Gd,PConc,1581.0,GasA,SBrkr,1601,3,4,6,Typ,1,TA,2.0,670.0,Y,180,0,0,0,0,0,,MnPrv,Shed,2000,WD ,Normal,272000,12.513557345278134,9,8,8,3.0,3.0
266,907262050,60,RL,44.0,9548,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,223.0,Gd,PConc,941.0,GasA,SBrkr,1829,3,4,7,Typ,1,TA,2.0,613.0,Y,192,39,0,0,0,0,,,,0,WD ,Normal,237000,12.375815420117268,7,7,8,4.0,3.0
267,907280040,60,RL,75.0,9375,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,1040.0,GasA,SBrkr,2098,4,4,9,Typ,1,TA,2.0,621.0,Y,331,38,0,0,0,0,,,,0,WD ,Normal,240000,12.388394202324129,13,13,8,3.0,3.0
272,907410080,20,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,109.0,Gd,PConc,1473.0,GasA,SBrkr,1484,3,4,7,Typ,0,,2.0,606.0,Y,0,35,0,144,0,0,,,,0,WD ,Normal,213000,12.269047444691562,6,5,8,3.0,3.0
273,907414030,20,RL,65.0,8773,Pave,,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,Gd,PConc,1414.0,GasA,SBrkr,1414,3,4,6,Typ,0,,2.0,494.0,Y,132,105,0,0,0,0,,,,0,WD ,Normal,185500,12.130810161029627,6,6,8,2.0,3.0
274,908102060,30,RL,67.0,8777,Pave,,Reg,Lvl,AllPub,Inside,Mod,Edwards,Feedr,Norm,1Fam,1Story,3,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,CBlock,0.0,GasA,SBrkr,640,2,3,5,Min1,0,,1.0,240.0,N,0,0,0,0,0,0,,,,0,ConLD,Normal,84900,11.349229372299439,65,3,2,1.0,3.0
277,908102170,20,RL,60.0,10044,Pave,,IR1,Low,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,CBlock,1196.0,GasA,SBrkr,1196,3,3,6,Typ,0,,1.0,336.0,Y,257,0,168,0,0,0,,MnPrv,,0,WD ,Normal,144000,11.877568578558138,42,42,4,2.0,3.0
279,908103350,80,RL,65.0,6305,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,Gable,CompShg,Plywood,Plywood,,0.0,TA,CBlock,1008.0,GasA,SBrkr,1096,3,3,5,Typ,1,Fa,1.0,352.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,125200,11.737667737648135,35,35,4,2.0,3.0
281,908203100,20,RL,64.0,6410,Pave,,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,Hip,CompShg,WdShing,Wd Shng,,0.0,TA,CBlock,960.0,GasA,SBrkr,960,3,3,5,Typ,0,,0.0,0.0,Y,0,0,0,0,0,0,,MnPrv,,0,WD ,Normal,90000,11.407564949312402,52,52,8,1.0,
282,908208020,20,RM,80.0,8546,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,1121.0,GasA,SBrkr,1121,2,3,5,Typ,0,,2.0,440.0,Y,132,64,0,0,0,0,,,,0,WD ,Normal,140000,11.84939770159144,7,6,8,2.0,3.0
283,908225320,50,RL,52.0,8741,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,CBlock,735.0,GasA,FuseA,1487,3,3,7,Typ,1,Gd,1.0,220.0,Y,0,140,0,0,0,0,,MnPrv,,0,WD ,Normal,113000,11.635143097694478,65,60,4,2.0,3.0
285,908275300,20,RL,68.0,8562,Pave,,Reg,Lvl,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,Stone,145.0,TA,CBlock,1216.0,GasA,FuseA,1526,4,3,7,Min2,1,Gd,1.0,364.0,Y,116,78,0,0,0,0,,,,0,WD ,Normal,144500,11.881034786534624,53,8,8,1.0,3.0
286,909100080,30,RL,67.0,4853,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Artery,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,VinylSd,BrkFace,203.0,TA,BrkTil,1107.0,GasA,FuseA,1296,2,2,5,Typ,1,Gd,1.0,260.0,Y,0,0,36,0,0,0,,MnPrv,,0,WD ,Normal,104000,11.55214617812351,86,11,1,2.0,3.0
287,909100110,70,RL,66.0,6858,Pave,,Reg,Bnk,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,2Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,PConc,806.0,GasA,FuseF,1647,4,2,6,Typ,0,,1.0,216.0,Y,0,66,136,0,0,0,,,,0,WD ,Normal,128000,11.759785542901755,95,60,2,3.0,3.0
288,909101070,30,RL,45.0,8212,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,Gable,CompShg,Stucco,Stucco,,0.0,TA,BrkTil,864.0,GasA,FuseF,864,2,3,5,Typ,0,,1.0,200.0,Y,0,0,96,0,0,0,,,,0,WD ,Normal,58500,10.976782033219948,96,60,2,2.0,2.5
289,909176140,50,RL,50.0,5000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,BrkFace,Wd Sdng,,0.0,TA,BrkTil,1026.0,GasA,SBrkr,1691,3,4,6,Typ,1,Gd,1.0,308.0,Y,0,0,242,0,0,0,,,,0,WD ,Normal,127000,11.751942365440728,86,60,4,2.0,3.0
290,909176150,30,RL,,7890,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,CBlock,856.0,GasA,SBrkr,856,2,3,4,Typ,1,Gd,2.0,399.0,Y,0,0,0,0,166,0,,,,0,WD ,Normal,126000,11.744037185933616,71,60,4,2.0,3.0
292,909250030,50,RL,51.0,9839,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,894.0,GasA,SBrkr,1666,3,3,7,Typ,1,Gd,0.0,0.0,N,0,156,0,0,0,0,,,,0,WD ,Normal,100000,11.512925464970229,79,60,8,2.0,
293,909250060,50,RL,50.0,9638,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,PConc,804.0,GasA,SBrkr,2447,4,4,10,Min2,1,Gd,1.0,336.0,Y,272,0,42,0,116,0,,,,0,WD ,Normal,169000,12.037653993905211,91,20,8,2.0,3.0
294,909281080,50,RL,78.0,10452,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,371.0,Gd,BrkTil,1528.0,GasA,SBrkr,2133,4,3,8,Typ,2,TA,1.0,312.0,Y,0,0,86,0,0,0,,,,0,WD ,Normal,257500,12.458774999085929,69,25,8,3.0,3.0
296,909427230,70,RL,66.0,9042,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,Gable,CompShg,CemntBd,CmentBd,,0.0,Ex,Stone,1152.0,GasA,SBrkr,2340,4,4,9,Typ,2,Gd,1.0,252.0,Y,0,60,0,0,0,0,,GdPrv,Shed,2500,WD ,Normal,266500,12.493129522588037,69,4,8,2.0,3.0
297,909428280,20,RL,100.0,17500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,PosA,Norm,1Fam,1Story,7,Gable,CompShg,BrkFace,HdBoard,,0.0,Gd,PConc,1902.0,GasA,SBrkr,1902,3,5,7,Typ,2,TA,2.0,567.0,Y,0,207,162,0,0,0,,,,0,WD ,Normal,335000,12.721885810807203,51,8,4,3.0,3.0
298,909452114,80,RL,85.0,19645,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Crawfor,Norm,Norm,1Fam,SLvl,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,44.0,TA,PConc,423.0,GasA,SBrkr,1652,3,4,6,Typ,0,,2.0,473.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,203135,12.221626061623574,16,3,8,4.0,3.0
301,909475140,20,RL,100.0,15602,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7,Gable,CompShg,BrkFace,Wd Sdng,,0.0,TA,CBlock,1501.0,GasA,SBrkr,1801,1,3,6,Typ,2,TA,2.0,484.0,Y,0,54,0,0,161,0,,GdWo,,0,WD ,Normal,289000,12.57418196709457,51,13,4,3.0,3.0
302,910202060,50,RM,40.0,5436,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,BrkTil,796.0,GasA,SBrkr,1154,3,4,7,Typ,0,,1.0,240.0,N,0,96,0,0,0,0,,MnPrv,,0,WD ,Normal,125500,11.740061037553975,88,3,6,2.0,3.0
303,910203250,30,RM,58.0,8154,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,BrkTil,480.0,GasA,SBrkr,540,1,3,4,Typ,0,,1.0,200.0,N,0,0,0,0,0,0,,,,0,ConLw,Normal,82000,11.314474526246391,69,60,4,1.0,2.0
304,910205120,50,RM,50.0,9140,Pave,,Reg,HLS,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,BrkTil,629.0,GasA,SBrkr,1107,2,3,5,Typ,0,,1.0,625.0,Y,0,56,0,0,200,0,,MnPrv,,0,COD,Normal,110000,11.608235644774552,89,35,2,1.0,3.0
310,914467040,60,RL,85.0,11050,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,1049.0,GasA,SBrkr,1916,3,4,8,Typ,1,TA,3.0,741.0,Y,0,70,0,0,0,0,,,,0,WD ,Normal,254900,12.448626590364206,12,11,8,4.0,3.0
311,914475090,80,RL,74.0,9620,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,Gable,CompShg,Plywood,Plywood,,0.0,TA,CBlock,1243.0,GasA,SBrkr,1285,3,4,6,Typ,1,Fa,2.0,473.0,Y,375,26,0,0,0,0,,GdPrv,Shed,80,WD ,Normal,190000,12.154779351142624,33,33,4,3.0,3.0
312,914476520,20,RL,129.0,9196,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,1560.0,GasA,SBrkr,1560,3,4,7,Typ,0,,2.0,573.0,Y,100,150,0,0,0,0,,,,0,WD ,Normal,201000,12.211060187041213,7,7,8,2.0,3.0
313,914478045,80,RL,,12328,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,335.0,TA,CBlock,1012.0,GasA,SBrkr,1034,3,3,6,Typ,0,,3.0,888.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,169900,12.042965307660024,34,34,4,2.0,3.0
315,916125360,20,RL,,57200,Pave,,IR1,Bnk,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,CBlock,747.0,GasA,SBrkr,1687,3,3,7,Min1,2,TA,2.0,572.0,N,0,0,50,0,0,0,,,,0,WD ,Normal,160000,11.982929094215963,62,60,4,2.0,3.0
316,916386010,20,RL,88.0,11896,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,Gd,PConc,1336.0,GasA,SBrkr,1346,3,4,6,Typ,1,TA,3.0,660.0,Y,100,48,0,0,0,0,,,,0,WD ,Normal,220000,12.301382825334498,2,2,8,3.0,3.0
318,916386060,60,RL,73.0,9802,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,384.0,GasA,SBrkr,1444,3,3,7,Typ,0,,2.0,400.0,Y,100,0,0,0,0,0,,,,0,WD ,Normal,174000,12.066810578196666,4,3,6,3.0,3.0
320,916455170,60,RL,80.0,11316,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,44.0,Gd,PConc,817.0,GasA,SBrkr,1894,4,4,8,Typ,1,Gd,2.0,510.0,Y,0,40,0,0,0,0,,,,0,WD ,Normal,214900,12.277928082630602,8,7,8,4.0,3.0
321,916475110,60,RL,85.0,14191,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,967.0,GasA,SBrkr,1908,4,4,9,Typ,0,,2.0,431.0,Y,135,0,0,0,0,0,,,,0,WD ,Normal,202900,12.220468525813907,8,8,8,3.0,3.0
322,921128020,20,RL,89.0,13214,Pave,,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,Hip,CompShg,Stucco,CmentBd,,0.0,Ex,PConc,2002.0,GasA,SBrkr,2018,3,5,10,Typ,1,Gd,3.0,746.0,Y,144,76,0,0,0,0,,,,0,WD ,Normal,378500,12.84397135185964,2,1,8,2.0,3.0
323,923201020,20,RL,85.0,15300,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,Hip,CompShg,Plywood,HdBoard,,0.0,TA,CBlock,1068.0,GasA,SBrkr,1264,2,3,7,Typ,1,TA,2.0,528.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,169000,12.037653993905211,45,33,4,2.0,3.0
324,923202105,20,RL,93.0,10114,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,1430.0,GasA,SBrkr,1430,3,4,7,Typ,0,,2.0,624.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,173500,12.063932878369052,6,5,8,2.0,3.0
326,923205015,20,RL,,11875,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,1344.0,GasA,SBrkr,1344,3,3,7,Typ,1,Gd,2.0,686.0,Y,328,0,0,0,0,0,,,,0,WD ,Normal,166500,12.022750588402635,11,11,8,2.0,3.0
334,923230190,20,RL,50.0,6953,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,CBlock,864.0,GasA,SBrkr,874,3,3,5,Typ,0,,1.0,352.0,Y,0,0,0,0,0,0,,,,0,ConLD,Normal,130000,11.77528972943772,39,6,8,1.0,3.0
335,923251080,20,RL,,26142,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,189.0,TA,CBlock,1188.0,GasA,SBrkr,1188,3,3,6,Typ,0,,1.0,312.0,P,261,39,0,0,0,0,,,,0,WD ,Normal,157900,11.969717200243734,48,48,4,1.0,3.0
336,923276030,20,RL,76.0,12887,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,CBlock,833.0,GasA,SBrkr,833,2,4,5,Typ,0,,2.0,495.0,Y,431,0,0,0,0,0,,MnPrv,,0,WD ,Normal,149900,11.917723684090689,26,26,4,2.0,3.0
338,923426070,60,RL,63.0,10475,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,PConc,624.0,GasA,SBrkr,1274,3,3,6,Typ,0,,2.0,576.0,Y,22,0,0,0,0,0,,GdWo,,0,WD ,Normal,136000,11.820410164718188,19,19,6,2.0,3.0
339,924100050,50,RL,68.0,10544,Pave,,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,CBlock,864.0,GasA,SBrkr,1479,5,3,8,Typ,0,,1.0,275.0,Y,287,0,280,0,0,0,,,,0,WD ,Normal,161000,11.9891596439666,41,41,4,2.0,3.0
340,924151040,20,RL,76.0,9892,Pave,,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,8,Hip,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,1679.0,GasA,SBrkr,1803,3,4,6,Typ,2,TA,2.0,482.0,Y,129,64,222,0,0,0,,GdWo,,0,WD ,Normal,285000,12.560244459250788,16,15,8,5.0,3.0
341,924152030,60,RL,74.0,12961,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,1152.0,GasA,SBrkr,1797,3,4,7,Typ,1,Fa,2.0,616.0,Y,162,312,0,0,0,0,,,,0,WD ,Normal,231000,12.35017298950393,17,16,8,4.0,3.0
342,526302110,20,RL,74.0,13008,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,CBlock,882.0,GasA,SBrkr,882,2,3,5,Typ,0,,1.0,502.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,124500,11.732060994886899,53,53,4,1.0,3.0
343,526351100,20,RL,85.0,10200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Plywood,Plywood,BrkFace,440.0,TA,CBlock,1434.0,GasA,SBrkr,1434,4,3,7,Typ,1,Gd,2.0,528.0,Y,80,21,0,0,0,0,,,,0,WD ,Normal,157000,11.964001084330445,35,35,4,3.0,3.0
344,526355080,80,RL,75.0,13860,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,8,Gable,CompShg,Plywood,Wd Sdng,,0.0,Gd,CBlock,1952.0,GasA,SBrkr,2704,4,5,9,Typ,3,TA,2.0,538.0,Y,269,111,0,0,0,0,,MnPrv,,0,WD ,Normal,345000,12.751299696013497,37,14,6,4.0,3.0
345,527105070,60,RL,88.0,10179,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,945.0,GasA,SBrkr,1608,3,3,7,Typ,1,TA,2.0,470.0,Y,252,30,0,0,0,0,,,,0,WD ,Normal,189500,12.152144303504619,12,12,8,3.0,3.0
346,527105130,60,RL,,11792,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,188.0,Gd,PConc,1008.0,GasA,SBrkr,2283,4,4,9,Typ,1,Gd,3.0,632.0,Y,120,46,0,0,0,0,,,,0,WD ,Normal,270000,12.506177237980511,6,6,8,3.0,3.0
347,527107130,80,RL,60.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,32.0,TA,PConc,384.0,GasA,SBrkr,1628,3,3,7,Typ,1,TA,2.0,390.0,Y,48,72,0,0,0,0,,,Shed,490,WD ,Normal,189000,12.14950229404178,13,12,6,3.0,3.0
348,527108070,20,RL,42.0,14892,Pave,,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,9,Gable,CompShg,VinylSd,VinylSd,Stone,160.0,Ex,PConc,1746.0,GasA,SBrkr,1746,3,5,7,Typ,2,Gd,3.0,758.0,Y,201,39,0,0,0,0,,,,0,WD ,Normal,377500,12.841325847671216,3,2,8,3.0,3.0
349,527110020,80,RL,,8530,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,22.0,TA,PConc,384.0,GasA,SBrkr,1474,3,3,7,Typ,1,TA,2.0,400.0,Y,120,72,0,0,0,0,,,Shed,700,WD ,Normal,168500,12.034691028774553,14,13,6,3.0,3.0
352,527132090,120,RL,61.0,7380,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,PConc,1418.0,GasA,SBrkr,1478,2,3,5,Typ,0,,2.0,495.0,Y,168,43,0,0,0,0,,,,0,WD ,Normal,240000,12.388394202324129,11,11,8,3.0,3.0
354,527161040,80,RL,57.0,8923,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,384.0,GasA,SBrkr,1382,3,3,7,Typ,1,TA,2.0,396.0,Y,256,0,0,0,0,0,,,,0,WD ,Normal,177500,12.086725887897607,11,11,6,3.0,3.0
355,527162110,60,RL,74.0,10141,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,TA,PConc,832.0,GasA,SBrkr,1718,3,3,7,Typ,1,TA,2.0,427.0,Y,0,94,0,0,291,0,,,,0,WD ,Normal,185000,12.128111104060462,11,11,6,3.0,3.0
356,527162120,60,RL,60.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,952.0,GasA,SBrkr,1636,3,3,7,Typ,1,TA,2.0,440.0,Y,0,84,0,0,0,0,,,,0,WD ,Normal,191000,12.160028707028767,11,10,6,4.0,3.0
357,527163040,60,RL,59.0,7837,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,PConc,799.0,GasA,SBrkr,1571,3,3,7,Typ,1,TA,2.0,380.0,Y,0,40,0,0,0,0,,,,0,WD ,Normal,178000,12.089538829274222,16,15,6,3.0,3.0
359,527163130,60,RL,,8803,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,PConc,707.0,GasA,SBrkr,1516,3,4,7,Typ,1,TA,2.0,409.0,Y,0,46,0,0,0,0,,,,0,WD ,Normal,181316,12.10799664436583,15,14,6,4.0,3.0
360,527164020,20,RL,58.0,7250,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,45.0,TA,PConc,1181.0,GasA,SBrkr,1190,3,4,6,Typ,1,TA,2.0,430.0,Y,0,21,0,0,0,0,,,,0,WD ,Normal,166000,12.01974306733868,16,16,8,2.0,3.0
361,527164060,60,RL,,9636,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,PConc,808.0,GasA,SBrkr,1593,3,3,7,Typ,1,TA,2.0,389.0,Y,342,40,0,0,0,0,,MnPrv,,0,WD ,Normal,178000,12.089538829274222,17,16,6,3.0,3.0
362,527164090,60,RL,65.0,8125,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,PConc,702.0,GasA,SBrkr,1481,3,3,6,Typ,1,TA,2.0,343.0,Y,0,36,0,0,0,0,,,,0,WD ,Normal,174000,12.066810578196666,15,14,6,3.0,3.0
363,527165130,20,RL,,9248,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,106.0,TA,PConc,1158.0,GasA,SBrkr,1167,3,4,6,Typ,0,,2.0,400.0,Y,120,26,0,0,0,0,,,,0,WD ,Normal,173000,12.061046873479915,17,17,6,3.0,3.0
364,527166010,60,RL,,10762,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,,344.0,Gd,PConc,978.0,GasA,SBrkr,1983,3,4,9,Typ,1,TA,2.0,490.0,Y,0,0,0,0,0,0,,,,0,WD ,Normal,225000,12.323855681186558,10,10,8,3.0,3.0
365,527180100,20,RL,99.0,11851,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,PConc,1424.0,GasA,SBrkr,1442,3,3,5,Typ,0,,2.0,500.0,Y,0,34,0,508,0,0,,,,0,WD ,Normal,180500,12.103486056755072,19,19,8,2.0,3.0
369,527258020,20,RL,124.0,16158,Pave,,IR1,Low,AllPub,Inside,Mod,StoneBr,Norm,Norm,1Fam,1Story,7,Hip,CompShg,VinylSd,VinylSd,Stone,16.0,Gd,PConc,1530.0,GasA,SBrkr,1530,3,4,7,Typ,1,Gd,2.0,430.0,Y,168,36,0,0,0,0,,,,0,WD ,Normal,260000,12.468436909997665,4,4,8,3.0,3.0
